  3.970 3969.000   0.000
  4.057   87.000   0.000
  4.141   84.000   0.000
  4.190   48.000   0.000
  4.192    2.000   0.000
  4.194    1.000   0.000
  4.521  323.000   3.000
  5.020  499.000   1.000
  5.510  489.000   2.000
  6.010  499.000   2.000
  6.510  499.000   2.000
  7.010  499.000   2.000
  7.520  509.000   2.000
  8.020  499.000   2.000
  8.521  500.000   2.000
  9.021  499.000   3.000
  9.521  499.000   3.000
 10.021  499.000   3.000
 10.521  500.000   3.000
 11.021  499.000   3.000
 11.511  489.000   3.000
 12.011  499.000   4.000
 12.512  500.000   4.000
 13.012  499.000   4.000
 13.512  499.000   4.000
 14.012  499.000   4.000
 14.512  499.000   4.000
 15.012  499.000   4.000
 15.512  499.000   4.000
 16.012  499.000   4.000
 16.512  500.000   4.000
 17.012  499.000   4.000
 17.512  499.000   4.000
 18.012  499.000   4.000
 18.512  499.000   4.000
 19.012  499.000   4.000
 19.512  499.000   4.000
 20.012  499.000   4.000
 20.512  500.000   4.000
 21.012  499.000   4.000
 21.512  499.000   4.000
 22.012  499.000   4.000
 22.512  499.000   4.000
 23.012  499.000   4.000
 23.512  499.000   4.000
 24.012  499.000   4.000
 24.512  500.000   4.000
 25.012  499.000   4.000
 25.512  500.000   4.000
 26.012  499.000   4.000
 26.512  499.000   4.000
 27.012  499.000   4.000
 27.512  499.000   4.000
 28.011  499.000   4.000
 28.512  500.000   4.000
 29.012  499.000   4.000
 29.512  499.000   4.000
 30.012  499.000   4.000
 30.512  499.000   4.000
 31.012  499.000   4.000
 31.512  499.000   4.000
 32.012  499.000   4.000
 32.512  500.000   4.000
 33.012  499.000   4.000
 33.512  499.000   4.000
 34.012  499.000   4.000
 34.512  499.000   4.000
 35.012  499.000   4.000
 35.512  499.000   4.000
 36.012  499.000   4.000
 36.513  500.000   4.000
 37.012  499.000   4.000
 37.512  499.000   4.000
 38.012  499.000   4.000
 38.512  499.000   4.000
 39.012  499.000   4.000
 39.512  499.000   4.000
 40.012  500.000   4.000
 40.513  500.000   4.000
 41.012  499.000   4.000
 41.512  499.000   4.000
 42.012  499.000   4.000
 42.512  499.000   4.000
 43.012  499.000   4.000
 43.512  499.000   4.000
 44.012  499.000   4.000
 44.512  500.000   4.000
 45.013  499.000   4.000
 45.512  499.000   4.000
 46.012  499.000   4.000
 46.512  499.000   4.000
 47.012  499.000   4.000
 47.512  499.000   4.000
 48.012  499.000   4.000
 48.512  500.000   4.000
 49.012  500.000   4.000
 49.512  499.000   4.000
 50.012  499.000   4.000
 50.512  499.000   4.000
 51.012  499.000   4.000
 51.512  499.000   4.000
 52.012  499.000   4.000
 52.512  500.000   4.000
 53.012  499.000   4.000
 53.512  499.000   4.000
 54.012  499.000   4.000
 54.512  499.000   4.000
 55.012  500.000   4.000
 55.512  499.000   4.000
 56.012  499.000   4.000
 56.512  500.000   4.000
 57.012  499.000   4.000
 57.512  499.000   4.000
 58.012  500.000   4.000
 58.512  499.000   4.000
 59.012  499.000   4.000
 59.512  499.000   4.000
 60.012  499.000   4.000
 60.512  500.000   4.000
 61.012  499.000   4.000
 61.512  499.000   4.000
 62.012  499.000   4.000
 62.512  499.000   4.000
 63.012  499.000   4.000
 63.512  499.000   4.000
 64.012  500.000   4.000
 64.512  500.000   4.000
 65.012  499.000   4.000
 65.512  499.000   4.000
 66.012  499.000   4.000
 66.512  499.000   4.000
 67.012  499.000   4.000
 67.512  499.000   4.000
 68.011  499.000   4.000
 68.512  500.000   4.000
 69.012  499.000   4.000
 69.512  499.000   4.000
 70.012  499.000   4.000
 70.512  500.000   4.000
 71.012  499.000   4.000
 71.512  499.000   4.000
 72.012  499.000   4.000
 72.512  500.000   4.000
 73.012  500.000   4.000
 73.512  499.000   4.000
 74.012  499.000   4.000
 74.512  499.000   4.000
 75.012  499.000   4.000
 75.512  499.000   4.000
 76.012  499.000   4.000
 76.512  500.000   4.000
 77.012  499.000   4.000
 77.512  499.000   4.000
 78.012  499.000   4.000
 78.512  499.000   4.000
 79.012  499.000   4.000
 79.512  499.000   4.000
 80.012  499.000   4.000
 80.512  500.000   4.000
 81.012  499.000   4.000
 81.512  499.000   4.000
 82.012  499.000   4.000
 82.512  499.000   4.000
 83.012  499.000   4.000
 83.512  499.000   4.000
 84.012  499.000   4.000
 84.512  500.000   4.000
 85.012  499.000   4.000
 85.512  499.000   4.000
 86.012  499.000   4.000
 86.512  499.000   4.000
 87.012  499.000   4.000
 87.512  499.000   4.000
