  4.324 4323.000   0.000
  4.573  249.000   0.000
  4.825  251.000   0.000
  4.831    5.000   0.000
  4.832    2.000   0.000
  4.836    3.000   0.000
  4.838    1.000   0.000
  4.840    1.000   0.000
  4.842    1.000   0.000
  4.844    1.000   0.000
  4.845    1.000   0.000
  4.847    1.000   0.000
  4.849    1.000   0.000
  4.851    1.000   0.000
  4.853    1.000   0.000
  4.855    1.000   0.000
  4.856    1.000   0.000
  4.858    2.000   0.000
  4.860    1.000   0.000
  4.862    1.000   0.000
  4.864    1.000   0.000
  4.874    9.000   0.000
  4.881    7.000   0.000
  4.887    5.000   1.000
  4.890    3.000   0.000
  4.892    1.000   1.000
  4.893    2.000   0.000
  4.897    3.000   0.000
  4.899    2.000   0.000
  4.903    3.000   0.000
  4.907    3.000   0.000
  4.908    1.000   0.000
  4.910    2.000   0.000
  4.914    3.000   0.000
  4.916    2.000   0.000
  4.921    4.000   0.000
  4.924    2.000   0.000
  4.925    1.000   0.000
  5.002   77.000   0.000
  5.132  129.000   1.000
  5.261  129.000   0.000
  5.381  119.000   0.000
  5.521  140.000   0.000
  5.631  109.000   0.000
  5.771  140.000   0.000
  5.911  140.000   0.000
  6.021  110.000   0.000
  6.141  120.000   0.000
  6.261  119.000   0.000
  6.391  130.000   0.000
  6.511  119.000   0.000
  6.631  119.000   0.000
  6.752  121.000   0.000
  6.881  129.000   0.000
  7.002  121.000   0.000
  7.132  129.000   0.000
  7.252  119.000   0.000
  7.392  139.000   0.000
  7.502  110.000   0.000
  7.631  129.000   0.000
  7.751  120.000   0.000
  7.882  130.000   0.000
  8.002  119.000   0.000
  8.132  129.000   0.000
  8.252  120.000   0.000
  8.402  149.000   0.000
  8.502   99.000   0.000
  8.631  129.000   0.000
  8.781  150.000   0.000
  8.912  130.000   0.000
  9.022  110.000   0.000
  9.131  109.000   0.000
  9.262  130.000   0.000
  9.381  119.000   0.000
  9.522  140.000   0.000
  9.631  109.000   0.000
  9.771  139.000   0.000
  9.881  110.000   0.000
 10.022  140.000   0.000
 10.132  109.000   0.000
 10.262  130.000   1.000
 10.392  130.000   0.000
 10.512  119.000   0.000
 10.632  119.000   0.000
 10.752  120.000   0.000
 10.893  140.000   0.000
 11.003  109.000   1.000
 11.142  139.000   0.000
 11.252  109.000   0.000
 11.382  130.000   0.000
 11.513  130.000   1.000
 11.642  129.000   0.000
 11.752  109.000   0.000
 11.922  170.000   0.000
 12.022   99.000   0.000
 12.142  119.000   0.000
 12.272  130.000   0.000
 12.382  109.000   0.000
 12.522  140.000   0.000
 12.632  110.000   0.000
 12.761  129.000   0.000
 12.922  160.000   0.000
 13.012   89.000   0.000
 13.153  140.000   1.000
 13.342  189.000   1.000
 13.392   49.000   0.000
 13.553  160.000   1.000
 13.632   79.000   0.000
 13.762  130.000   1.000
 13.882  119.000   0.000
 14.022  140.000   0.000
 14.132  110.000   1.000
 14.273  140.000   1.000
 14.382  109.000   1.000
 14.522  140.000   0.000
 14.652  129.000   1.000
 14.752  100.000   0.000
 14.883  130.000   0.000
 15.004  120.000   1.000
 15.133  129.000   0.000
 15.253  120.000   1.000
 15.392  139.000   0.000
 15.503  110.000   1.000
 15.633  129.000   1.000
 15.752  119.000   0.000
 15.882  130.000   0.000
 16.003  120.000   0.000
 16.133  130.000   1.000
 16.252  119.000   0.000
 16.392  140.000   0.000
 16.512  119.000   0.000
 16.642  129.000   0.000
 16.761  119.000   0.000
 16.882  120.000   0.000
 17.013  130.000   1.000
 17.142  129.000   0.000
 17.262  120.000   1.000
 17.391  129.000   0.000
 17.513  120.000   1.000
 17.633  119.000   1.000
 17.762  129.000   0.000
