  4.220 4217.000   3.000
  4.309   91.000   1.000
  4.394   84.000   0.000
  4.446   52.000   1.000
  4.449    3.000   1.000
  4.452    3.000   1.000
  4.503   50.000   1.000
  5.012  507.000   2.000
  5.502  490.000   2.000
  6.011  509.000   2.000
  6.511  499.000   2.000
  7.002  490.000   2.000
  7.502  499.000   2.000
  8.003  500.000   2.000
  8.523  520.000   2.000
  9.013  489.000   3.000
  9.534  521.000   3.000
 10.026  491.000   3.000
 10.513  486.000   4.000
 11.025  512.000   3.000
 11.503  477.000   3.000
 12.003  500.000   3.000
 12.514  511.000   3.000
 13.014  498.000   4.000
 13.513  499.000   3.000
 14.014  500.000   4.000
 14.504  490.000   4.000
 15.004  499.000   3.000
 15.525  520.000   4.000
 16.005  480.000   4.000
 16.525  520.000   3.000
 17.013  488.000   3.000
 17.513  499.000   4.000
 18.013  499.000   4.000
 18.513  499.000   4.000
 19.004  491.000   4.000
 19.505  499.000   4.000
 20.005  500.000   4.000
 20.513  509.000   3.000
 21.014  500.000   4.000
 21.514  499.000   4.000
 22.015  499.000   5.000
 22.504  490.000   4.000
 23.004  500.000   4.000
 23.505  499.000   4.000
 24.005  499.000   5.000
 24.504  500.000   4.000
 25.036  531.000   4.000
 25.506  470.000   4.000
 26.014  508.000   4.000
 26.515  500.000   4.000
 27.017  502.000   5.000
 27.505  487.000   5.000
 28.005  500.000   4.000
 28.504  499.000   4.000
 29.026  522.000   4.000
 29.525  499.000   4.000
 30.014  488.000   4.000
 30.514  499.000   4.000
 31.005  491.000   4.000
 31.516  510.000   5.000
 32.010  492.000   6.000
 32.507  496.000   7.000
 33.037  531.000   5.000
 33.514  477.000   4.000
 34.014  500.000   4.000
 34.505  491.000   3.000
 35.004  499.000   4.000
 35.540  532.000   7.000
 36.028  488.000   6.000
 36.505  477.000   4.000
 37.006  500.000   6.000
 37.516  510.000   4.000
 38.004  489.000   4.000
 38.515  510.000   4.000
 39.009  489.000   9.000
 39.535  530.000   4.000
 40.004  469.000   4.000
 40.514  509.000   4.000
 41.035  521.000   4.000
 41.515  478.000   5.000
 42.015  499.000   5.000
 42.536  521.000   4.000
 43.016  479.000   4.000
 43.504  488.000   4.000
 44.015  511.000   3.000
 44.514  498.000   4.000
 45.007  490.000   6.000
 45.504  500.000   4.000
 46.026  520.000   4.000
 46.515  488.000   5.000
 47.007  491.000   6.000
 47.535  531.000   3.000
 48.004  468.000   4.000
 48.537  531.000   4.000
 49.037  500.000   4.000
 49.505  468.000   3.000
 50.006  498.000   6.000
 50.518  511.000   6.000
 51.016  499.000   4.000
 51.515  499.000   4.000
 52.005  489.000   5.000
 52.505  500.000   4.000
 53.008  502.000   6.000
 53.504  497.000   4.000
 54.017  511.000   5.000
 54.515  498.000   4.000
 55.005  489.000   4.000
 55.505  499.000   4.000
 56.006  500.000   5.000
 56.516  510.000   5.000
 57.016  500.000   4.000
 57.514  498.000   4.000
 58.004  490.000   4.000
 58.505  500.000   4.000
 59.020  512.000   6.000
 59.504  486.000   4.000
 60.006  502.000   3.000
 60.504  497.000   4.000
 61.004  500.000   3.000
 61.516  510.000   5.000
 62.015  499.000   4.000
 62.526  511.000   4.000
 63.005  478.000   5.000
 63.509  503.000   5.000
 64.006  496.000   5.000
 64.507  500.000   7.000
 65.008  500.000   7.000
 65.515  509.000   4.000
 66.007  491.000   5.000
 66.534  528.000   4.000
 67.005  470.000   4.000
 67.526  521.000   4.000
 68.007  480.000   4.000
 68.515  507.000   4.000
 69.004  489.000   4.000
 69.514  510.000   3.000
 70.018  501.000   6.000
 70.515  498.000   5.000
 71.005  490.000   4.000
 71.505  500.000   4.000
 72.005  499.000   5.000
 72.505  499.000   4.000
 73.006  501.000   4.000
 73.514  508.000   4.000
 74.015  500.000   5.000
 74.505  490.000   5.000
 75.036  530.000   4.000
 75.517  480.000   6.000
 76.007  490.000   5.000
 76.504  497.000   4.000
 77.014  509.000   4.000
 77.513  500.000   3.000
 78.036  520.000   6.000
 78.534  499.000   4.000
 79.006  470.000   5.000
 79.504  499.000   4.000
 80.027  522.000   4.000
 80.528  499.000   6.000
 81.005  478.000   4.000
 81.514  510.000   4.000
 82.007  490.000   7.000
 82.516  509.000   6.000
 83.027  512.000   5.000
 83.505  477.000   5.000
 84.008  500.000   7.000
 84.514  509.000   4.000
 85.005  490.000   5.000
 85.514  509.000   4.000
 86.007  492.000   5.000
 86.505  498.000   4.000
 87.006  500.000   4.000
 87.505  498.000   5.000
 88.037  531.000   5.000
 88.505  468.000   5.000
 89.035  530.000   4.000
 89.505  470.000   4.000
 90.015  508.000   5.000
 90.504  490.000   4.000
 91.027  522.000   4.000
 91.505  477.000   4.000
 92.005  500.000   5.000
 92.506  499.000   6.000
 93.015  509.000   5.000
 93.513  499.000   4.000
 94.015  500.000   5.000
 94.517  500.000   6.000
 95.004  490.000   4.000
 95.539  531.000   7.000
 96.035  499.000   4.000
 96.505  468.000   4.000
 97.004  499.000   4.000
 97.514  509.000   4.000
 98.005  490.000   5.000
 98.514  509.000   5.000
 99.035  521.000   4.000
 99.505  469.000   4.000
100.005  499.000   4.000
100.514  509.000   4.000
101.005  489.000   5.000
101.515  509.000   5.000
102.014  499.000   4.000
102.504  490.000   4.000
103.006  499.000   5.000
103.515  510.000   4.000
104.006  491.000   5.000
104.505  498.000   4.000
105.005  500.000   5.000
105.535  530.000   4.000
106.017  481.000   5.000
106.545  528.000   5.000
107.004  459.000   4.000
107.505  499.000   4.000
108.004  500.000   4.000
108.513  509.000   3.000
109.015  500.000   4.000
109.515  500.000   5.000
110.015  499.000   5.000
110.518  500.000   7.000
111.005  489.000   5.000
111.515  509.000   5.000
112.005  489.000   5.000
112.515  509.000   5.000
113.014  499.000   4.000
113.514  500.000   4.000
114.004  489.000   4.000
114.515  510.000   4.000
115.005  489.000   4.000
115.504  500.000   3.000
116.004  499.000   4.000
116.504  500.000   4.000
117.005  499.000   4.000
117.510  503.000   7.000
118.010  498.000   8.000
118.525  519.000   4.000
119.005  479.000   5.000
119.505  499.000   5.000
120.036  530.000   5.000
120.525  490.000   4.000
121.014  488.000   5.000
121.514  499.000   4.000
122.016  500.000   6.000
122.506  490.000   5.000
123.007  500.000   5.000
123.505  498.000   4.000
124.015  510.000   4.000
124.505  489.000   5.000
125.005  499.000   4.000
125.514  509.000   4.000
126.015  499.000   5.000
126.504  490.000   4.000
127.005  500.000   5.000
127.504  499.000   4.000
128.005  499.000   5.000
128.515  510.000   5.000
129.026  510.000   4.000
129.506  478.000   6.000
130.015  509.000   5.000
130.508  492.000   6.000
131.006  498.000   5.000
131.505  499.000   4.000
132.004  500.000   4.000
132.509  501.000   7.000
133.008  498.000   7.000
133.527  521.000   5.000
134.037  509.000   5.000
134.515  478.000   5.000
135.008  490.000   7.000
135.505  499.000   5.000
136.006  499.000   5.000
136.516  509.000   6.000
137.016  500.000   6.000
137.536  520.000   5.000
138.014  478.000   5.000
138.505  490.000   5.000
139.029  521.000   7.000
139.506  478.000   5.000
140.005  500.000   5.000
140.506  500.000   6.000
141.006  499.000   6.000
141.515  509.000   6.000
142.005  490.000   4.000
142.505  499.000   4.000
143.006  499.000   6.000
143.507  500.000   7.000
144.019  511.000   7.000
144.509  488.000   9.000
145.016  510.000   6.000
145.529  512.000   6.000
146.015  487.000   5.000
146.504  490.000   4.000
147.028  521.000   7.000
147.529  499.000   8.000
148.027  500.000   5.000
148.508  477.000   7.000
149.016  509.000   6.000
149.537  520.000   7.000
150.009  470.000   8.000
150.515  508.000   5.000
151.006  491.000   5.000
151.505  499.000   5.000
152.005  500.000   5.000
152.516  509.000   6.000
153.030  512.000   8.000
153.527  498.000   7.000
