data rate: [648, 1675], mean = 1150

sec                 # distinc grpby vals
      count     source    destination  source:destination
 1    0.1150    0.0111    0.0115    0.0200
 2    0.2300    0.0141    0.0147    0.0261
 3    0.3450    0.0162    0.0169    0.0304
 4    0.4600    0.0179    0.0186    0.0337
 5    0.5749    0.0194    0.0201    0.0367
 6    0.6899    0.0206    0.0214    0.0393
 7    0.8042    0.0217    0.0226    0.0416
 8    0.9199    0.0227    0.0236    0.0435
 9    1.0340    0.0237    0.0246    0.0456
10    1.1499    0.0245    0.0254    0.0473
