data rate: [89, 812], mean = 247, std = 90

sec                 # distinc grpby vals
      count     source    destination  source:destination
 1    0.2470    0.0391    0.0390    0.0460
 2    0.4940    0.0502    0.0503    0.0615
 3    0.7409    0.0566    0.0567    0.0697
 4    0.9879    0.0617    0.0618    0.0760
 5    1.2349    0.0660    0.0662    0.0816
 6    1.4819    0.0695    0.0697    0.0859
 7    1.7292    0.0732    0.0734    0.0904
 8    1.9759    0.0763    0.0767    0.0946
 9    2.2242    0.0786    0.0789    0.0975
10    2.4698    0.0814    0.0818    0.1010
